symbol,PIN,PIN_300d,PIN_diff
NLIC,0.3468342152539228,0.3468345770535306,3.6179960782867226e-07
NHPC,0.3205926263844951,0.32058636459107737,-6.261793417727812e-06
NICA,0.3194521091250482,0.319448165153874,-3.943971174202865e-06
AKPL,0.3044408728988619,0.3044600951409351,1.922224207318024e-05
NMB,0.2937648029149585,0.29376985382897824,5.050914019755215e-06
CFCL,0.2936439894716772,0.29364540130401273,1.4118323355405415e-06
SANIMA,0.2743407097396774,0.2743455818210386,4.872081361184666e-06
GMFIL,0.2641718019270037,0.2641723943271649,5.924001612034324e-07
UPPER,0.2185730354166973,0.2185642806452116,-8.754771485680601e-06
SBI,0.1963904609044621,0.19638717597526106,-3.284929201041731e-06
NABIL,0.1655954261898885,0.16560076122270773,5.335032819214769e-06
