symbol,PIN,PIN_bvc
NLIC,0.3468342152539228,0.32513155037690816
NHPC,0.3205926263844951,0.34836568247089544
NICA,0.3194521091250482,0.31118255157410246
AKPL,0.3044408728988619,0.31205554975150834
NMB,0.2937648029149585,0.30009516236171097
CFCL,0.2936439894716772,0.32624571667033125
SANIMA,0.2743407097396774,0.29284088839542693
GMFIL,0.2641718019270037,0.2937531982435732
UPPER,0.2185730354166973,0.24194645240745052
SBI,0.1963904609044621,0.18975431803045203
NABIL,0.1655954261898885,0.19671695515819598
