symbol,sector,n_days,mean_trades,mean_volume,PIN,PIN_lower_CI,PIN_upper_CI,alpha,mu,eps_b,eps_s,convergence
NICA,Banking,1096,727.4836,124517.9161,0.3195,0.3061,0.3306,0.4480,516.1777,236.6441,256.0034,1.0000
NMB,Banking,1095,438.0447,93019.4699,0.2938,0.2753,0.3111,0.2164,591.1022,150.5255,157.0391,1.0000
SANIMA,Banking,1095,456.7099,115629.9042,0.2743,0.2567,0.2913,0.2219,561.3860,140.5770,188.9438,1.0000
SBI,Banking,1095,159.9589,46570.0630,0.1964,0.1697,0.2280,0.1118,278.2258,55.0349,72.2234,1.0000
NABIL,Banking,1096,1045.5940,98821.0839,0.1656,0.1532,0.1795,0.2682,642.0606,364.9463,502.7429,1.0000
CFCL,Finance,1086,308.3153,50720.0101,0.2936,0.2706,0.3158,0.1469,612.9489,99.8765,116.7690,1.0000
GMFIL,Finance,1088,160.3004,32525.0348,0.2642,0.2411,0.2868,0.1457,288.3592,50.0961,66.9362,1.0000
NHPC,Hydropower,1096,826.8495,248303.2646,0.3206,0.2789,0.3458,0.2856,923.8930,297.3111,261.8999,1.0000
AKPL,Hydropower,1096,868.9471,228065.7728,0.3044,0.2592,0.3353,0.3530,746.6224,286.1675,315.9379,1.0000
UPPER,Hydropower,1092,1082.5507,202104.0831,0.2186,0.2009,0.2369,0.2152,1092.2763,372.3897,467.8954,1.0000
NLIC,Insurance,1093,734.6536,66377.7203,0.3468,0.3315,0.3599,0.4190,606.1960,269.0465,209.3129,1.0000
